row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
4,funnel,0,bucketed,last_depth,128,128,4,25,0.5844826474785805,0.48288095742464066,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,26,0.5839502587914467,0.49665115028619766,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,27,0.6277864500880241,0.5058698132634163,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,28,0.6105946227908134,0.5048968493938446,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,29,0.6965082958340645,0.47072646766901016,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,0,0.4986115023493767,0.4986115023493767,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,1,0.5291814729571342,0.5291814729571342,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,2,0.5091178640723228,0.5091178640723228,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,3,0.4914645329117775,0.4914645329117775,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,4,0.4954495131969452,0.4954495131969452,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,5,0.5243863686919212,0.5243863686919212,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,6,0.5249905735254288,0.5249905735254288,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,7,0.5230021849274635,0.5230021849274635,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,8,0.48082921653985977,0.48082921653985977,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,9,0.5587793588638306,0.5587793588638306,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,10,0.5059079602360725,0.5059079602360725,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,11,0.5388348400592804,0.5388348400592804,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,12,0.47602246701717377,0.47602246701717377,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,13,0.5053195729851723,0.5053195729851723,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,14,0.5117902830243111,0.5117902830243111,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,15,0.4860675036907196,0.4860675036907196,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,16,0.5098613202571869,0.5098613202571869,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,17,0.46645402908325195,0.46645402908325195,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,18,0.47157739847898483,0.47157739847898483,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,19,0.5437435135245323,0.5437435135245323,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,20,0.5200162902474403,0.5200162902474403,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,21,0.5070822462439537,0.5070822462439537,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,22,0.49908942729234695,0.49908942729234695,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,23,0.5286569818854332,0.5286569818854332,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,24,0.4827238842844963,0.4827238842844963,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,25,0.5553189292550087,0.5553189292550087,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,26,0.5174856409430504,0.5174856409430504,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,27,0.5041341036558151,0.5041341036558151,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,28,0.49964261054992676,0.49964261054992676,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,1,monolithic,monolithic,0,128,4,29,0.47871071100234985,0.47871071100234985,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
6,funnel,1,bucketed,history,64,128,4,0,0.5260332748293877,0.4986115023493767,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
6,funnel,1,bucketed,history,64,128,4,1,0.5452829375863075,0.5291814729571342,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
6,funnel,1,bucketed,history,64,128,4,2,0.5178620591759682,0.5091178640723228,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
6,funnel,1,bucketed,history,64,128,4,3,0.5807360261678696,0.4914645329117775,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
