row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
4,stochastic_volatility,0,bucketed,history,128,512,6,27,0.5240706503391266,0.3513184264302254,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,28,0.5381020084023476,0.28056298941373825,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,29,0.5565029606223106,0.3184075877070427,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,0,0.6717894896864891,0.31629855930805206,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,1,0.6007301136851311,0.33848123997449875,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,2,0.6804854795336723,0.3907069191336632,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,3,0.4491689205169678,0.34330810606479645,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,4,0.45916181057691574,0.34378089755773544,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,5,0.4739180952310562,0.28828269243240356,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,6,0.4936840236186981,0.32130254805088043,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,7,0.401301309466362,0.40217792987823486,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,8,0.47727203369140625,0.2921770289540291,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,9,0.4333801493048668,0.3166840225458145,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,10,0.44024013727903366,0.4912969470024109,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,11,0.4357820898294449,0.43506970256567,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,stochastic_volatility,0,bucketed,last_depth,64,512,6,12,0.4561644047498703,0.4006064012646675,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
