row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
4,eight_schools_noncentered,0,bucketed,history,128,512,10,23,0.5744471549987793,0.47432053834199905,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,24,0.5955075919628143,0.41115882992744446,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,25,0.6004794389009476,0.43033184856176376,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,26,0.5118264853954315,0.4238474667072296,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,27,0.5865083560347557,0.4765070006251335,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,28,0.5159022882580757,0.49719198048114777,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,29,0.41934649646282196,0.5434698089957237,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_noncentered,0,bucketed,last_depth,64,512,10,0,0.5321887508034706,4.783946365118027,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_noncentered,0,bucketed,last_depth,64,512,10,1,0.4522096961736679,0.4406552165746689,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_noncentered,0,bucketed,last_depth,64,512,10,2,0.4794997423887253,0.38037731498479843,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_noncentered,0,bucketed,last_depth,64,512,10,3,0.4677055850625038,0.45840317010879517,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_noncentered,0,bucketed,last_depth,64,512,10,4,0.59275883436203,0.41867369413375854,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_noncentered,0,bucketed,last_depth,64,512,10,5,0.5576701983809471,0.4614218771457672,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_noncentered,0,bucketed,last_depth,64,512,10,6,0.5203051641583443,0.39845936745405197,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_noncentered,0,bucketed,last_depth,64,512,10,7,0.5718718841671944,0.4637657627463341,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_noncentered,0,bucketed,last_depth,64,512,10,8,0.5487565323710442,0.42654789984226227,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_noncentered,0,bucketed,last_depth,64,512,10,9,0.5096437335014343,0.4376004785299301,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_noncentered,0,bucketed,last_depth,64,512,10,10,0.5674645900726318,0.40481144934892654,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_noncentered,0,bucketed,last_depth,64,512,10,11,0.5043743327260017,0.43699079006910324,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_noncentered,0,bucketed,last_depth,64,512,10,12,0.4651542603969574,0.4259481728076935,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_noncentered,0,bucketed,last_depth,64,512,10,13,0.5181513577699661,0.48324649780988693,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_noncentered,0,bucketed,last_depth,64,512,10,14,0.5410264357924461,0.44373349845409393,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_noncentered,0,bucketed,last_depth,64,512,10,15,0.5635516345500946,0.38824448734521866,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_noncentered,0,bucketed,last_depth,64,512,10,16,0.548723466694355,0.40607158839702606,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
